"symbol" "WT.mean" "WT.sd" "logFC.group" "logFC.30" "logFC.60" "logFC.120" "p.30" "p.60" "p.120" "q.30" "q.60" "q.120" "R2.group" "R2.E" "R2.M" "R2.L"
"AT4G18390" "TCP2" 6.53027333333333 1.29299705098109 "M" -0.0345199 -0.259931 -0.123842 0.88475 0.24145 0.5677 0.998621 0.856157 0.979531 "M" 0.0126307314971492 0.116303329657867 0.0875629394253948
"AT4G18400" "AT4G18400" 9.16960795833333 3.10022826500868 "E" 0.199358 0.0640507 0.118118 0.49235 0.80525 0.6523 0.966977 0.998621 0.989249 "E" 0.0622124272882874 0.0271906731671162 0.0494581288796192
"AT4G18422" "AT4G18422" 0.213652783333333 0.28817096112047 "M" -0.741581 -1.02781 -0.305525 1 1 1 1 1 1 "M" 0.118356725033852 0.130928683122449 0.0916032357027979
"AT4G18425" "AT4G18425" 1.47753725833333 0.492255541415627 "M" -0.311878 0.423835 -0.263692 0.52995 0.3068 0.5394 0.974025 0.900103 0.974988 "M" 0.0450559406800429 0.0986806132658227 0.00191417260479421
"AT4G18430" "RABA1E" 6.2179985 1.93053469489504 "M" 0.00960354 0.97632 0.634333 0.9731 1e-04 0.01275 0.998621 0.00906508 0.254675 "M" 0.0887429713976637 0.315411817288777 0.215444486839724
"AT4G18440" "AT4G18440" 10.2950342083333 1.60703056838673 "E" 0.566215 0.114301 -0.142229 0.0276 0.60105 0.5091 0.387751 0.984476 0.970462 "E" 0.335396820706569 0.195931571161749 0.121057326994782
"AT4G18450" "ERF091" 0.102549861666667 0.0871997796725613 "E" -Inf -0.299867 -0.129498 1 1 1 1 1 1 "E" 0.165110822242239 0.0357012900318728 0.0349384112264295
"AT4G18460" "AT4G18460" 8.1553075 1.75162435528234 "E" 0.160407 -0.135021 0.0859395 0.6067 0.64185 0.767 0.985533 0.987974 0.998621 "E" 0.0532016278478692 0.023828183323244 0.000537844467896953
"AT4G18465" "AT4G18465" 3.05736283333333 1.0511802738699 "E" 0.137006 -0.135008 0.0444008 0.64285 0.6077 0.86425 0.988401 0.98563 0.998621 "E" 0.0431786371827509 0.0245179768704203 0.00460764767583599
"AT4G18470" "SNI1" 0.671694966666667 0.164518136183199 "L" 0.151574 -0.143811 0.302113 1 1 1 1 1 1 "L" 0.00118952116521942 0.0228674835992573 0.0447776667025929
"AT4G18480" "CHLI1" 199.809179166667 67.6794246703562 "M" 0.222659 0.479615 0.152499 0.5591 0.16755 0.656 0.979008 0.783655 0.989878 "M" 0.108094162765074 0.205391939684808 0.0928141118899208
"AT4G18490" "AT4G18490" 0.404558454166667 0.145564295980881 "E" -0.51376 -0.328909 -0.182844 1 1 1 1 1 1 "E" 0.117588849158689 0.0671192401634489 0.0853782856190544
"AT4G18500" "AT4G18500" 0.181803291666667 0.494960428131423 "M" 0.179583 -Inf 0.289151 1 1 1 1 1 1 "M" 0.015065976036267 0.0902061309569704 0.0107970031306002
"AT4G18501" "AT4G18501" 0.7901603875 0.362453369702736 "L" 0.257365 0.0716072 0.64729 0.69615 0.92525 0.2596 0.993756 0.998621 0.868736 "L" 0.00379128809407214 0.0262725089942437 0.170449835884141
"AT4G18510" "CLE2" 5.58506640833333 2.79279317379194 "E" 0.558696 0.294441 0.310415 0.06225 0.27805 0.2502 0.562473 0.88149 0.863265 "E" 0.263102397073996 0.139536842800373 0.202386461651884
"AT4G18520" "PCMP-A2" 2.592228125 0.413143339009526 "L" -0.116623 -0.046113 0.16152 0.6812 0.85455 0.52305 0.993333 0.998621 0.97284 "L" 0.206847211693173 0.200625858548586 0.27564231086295
"AT4G18530" "AT4G18530" 1.771504375 0.396296921131093 "M" 0.0300528 -0.17266 0.0735115 0.9298 0.56805 0.79885 0.998621 0.979598 0.998621 "M" 0.0144363127120859 0.077524637912224 0.00619797592959248
"AT4G18550" "DSEL" 0.4214994625 0.16758634382142 "L" 0.332013 -0.379993 -0.731021 1 1 1 1 1 1 "L" 0.228173240300863 0.0475117165419747 0.275355712440652
"AT4G18570" "AT4G18570" 7.00256608333333 1.37766378440318 "L" -0.0175693 -0.799426 -0.802947 0.9458 0.0016 0.00345 0.998621 0.0686857 0.11576 "M" 0.225173695062238 0.881645141933307 0.804084957027218
"AT4G18580" "AT4G18580" 9.54025883333333 2.40952645715627 "L" -0.0507042 0.0100457 0.284024 0.9116 0.98015 0.4649 0.998621 0.998621 0.960591 "L" 0.214269598245962 0.232166040096036 0.650086180319201
"AT4G18590" "RPA3B" 29.12234125 7.59719185631244 "L" 0.279725 0.329376 0.345733 0.2241 0.1169 0.09715 0.841963 0.704047 0.659845 "L" 0.415026302410073 0.395845417241489 0.424481603073298
"AT4G18593" "AT4G18593" 33.3721779166667 9.05964921629826 "M" 0.0717358 0.278846 0.187537 0.76415 0.18265 0.36725 0.998621 0.801401 0.929044 "M" 0.180969715146781 0.322229571557318 0.227118839510319
"AT4G18600" "WAVE5" 0.416176908333333 0.149234569291528 "M" -0.00398674 -0.284837 -0.0421506 1 1 1 1 1 1 "M" 1.29422708826654e-05 0.0390881595065935 0.0227450198561079
"AT4G18610" "LSH9" 5.17005216666667 1.21534105364392 "E" 0.288911 -0.100179 -0.196894 0.34515 0.7156 0.482 0.919225 0.996595 0.964377 "E" 0.142563975730014 0.0417726836144224 0.0868765564619293
"AT4G18630" "AT4G18630" 1.71906637083333 0.447347834599874 "L" 0.0155198 -0.0076349 -0.640574 0.9588 0.9834 0.03735 0.998621 0.998621 0.449842 "L" 0.108572911057006 0.199388797861779 0.649318291731211
"AT4G18640" "MRH1" 2.53344366666667 0.595674991539095 "M" -0.0958802 -0.148286 0.112572 0.722 0.54275 0.6326 0.996795 0.975802 0.987032 "M" 0.0779382700283465 0.125317867362746 0.0069061137890607
"AT4G18650" "AT4G18650" 0.442970266666667 0.319323081926732 "M" -0.530548 -1.58032 0.299794 1 1 1 1 1 1 "M" 0.0979217716389407 0.206464371029166 0.023050885927395
"AT4G18670" "LRX5" 12.3383694166667 2.46811731138234 "M" 0.210894 0.333201 -0.116658 0.37435 0.11575 0.5707 0.932786 0.702018 0.979882 "M" 0.176339782112927 0.349768906089636 0.0391673239510927
"AT4G18692" "AT4G18692" 0.0390789041666667 0.0918425976337327 "L" -Inf -Inf -Inf 1 1 1 1 1 1 "E" 0.397938858749598 0.319278175716407 0.397926321851449
"AT4G18700" "CIPK12" 16.82154125 1.88197683639655 "M" 0.0541262 1.08076 0.472607 0.8186 5e-05 0.026 0.998621 0.00512634 0.376205 "M" 0.215654431326099 0.576578002072418 0.291273640920444
"AT4G18730" "RPL11B" 674.3672875 254.963516899857 "M" 0.409367 0.531917 0.2797 0.32605 0.15875 0.46175 0.909833 0.773111 0.96012 "M" 0.278690607617053 0.335603526378071 0.239030901983009
"AT4G18740" "AT4G18740" 26.94169 7.79765173914557 "E" 0.58281 0.47153 0.32885 0.01305 0.0304 0.133 0.257452 0.406758 0.733516 "E" 0.313238210229863 0.226390112764257 0.24092989032591
"AT4G18750" "DOT4" 0.942886495833333 0.201053642196542 "E" 0.381003 -0.0654084 0.332827 0.2817 1 0.2969 0.884915 1 0.894953 "E" 0.146401670224742 0.020978459538903 0.0855869489367771
"AT4G18760" "AtRLP51" 9.96608816666667 3.03200617365054 "L" 0.125198 -0.177716 -0.265475 0.59645 0.41525 0.21505 0.984006 0.947633 0.834198 "L" 0.150670135035438 0.0258439114773521 0.227038234329416
"AT4G18780" "CESA8" 1.49114003333333 0.479068650815717 "M" 0.178349 -0.514773 0.458577 0.559 0.073 0.0806 0.979008 0.596486 0.617708 "L" 0.050386159649941 0.43188640365636 0.549383704565821
"AT4G18800" "RABA1D" 12.0620520416667 2.116878464099 "L" -0.15372 0.0908917 0.173868 0.52245 0.66365 0.40755 0.972728 0.991301 0.944617 "E" 0.141042272719905 0.0269836105499646 0.104186219419313
"AT4G18810" "AT4G18810" 15.78123875 6.28294113722769 "L" 0.00915285 0.210924 0.446796 0.9677 0.31315 0.03245 0.998621 0.903239 0.420833 "L" 0.10690785062466 0.0333082880797347 0.45853078657584
"AT4G18820" "F28A21.230" 1.15640444166667 0.428072097432503 "E" 0.436657 0.191905 0.311788 0.11355 0.44415 0.2058 0.697188 0.955705 0.824967 "E" 0.0980612748016207 0.0310660396661306 0.0913468468794036
"AT4G18830" "OFP5" 1.3727829375 0.301540360827969 "M" 1.98111 2.41267 1.90554 5e-05 5e-05 5e-05 0.00512634 0.00512634 0.00512634 "M" 0.729720484858679 0.822726199387571 0.719145601503553
"AT4G18840" "PCMP-E101" 1.14314075 0.445819604062435 "E" -0.366831 0.0944858 0.0317837 0.39735 0.799 0.91995 0.940935 0.998621 0.998621 "E" 0.218829897303585 2.26381715739965e-05 0.0189133988153463
"AT4G18880" "HSFA4A" 2.77798508333333 0.645688607949004 "L" 0.262616 0.49058 0.519669 0.3467 0.0476 0.03385 0.919908 0.50296 0.428865 "M" 0.346430799583287 0.394929154101846 0.380026530441328
"AT4G18890" "BEH3" 2.648836375 0.584673173522187 "L" 0.521834 0.707879 1.21537 0.0744 0.00745 5e-05 0.600616 0.185961 0.00512634 "L" 0.0278280901854767 0.861456671873824 0.870376369494077
"AT4G18905" "AT4G18905" 14.9724229166667 2.1369957365087 "E" -0.26577 -0.150469 -0.0337037 0.24745 0.46965 0.87105 0.861509 0.961892 0.998621 "E" 0.206082378842801 0.152611515443234 0.0942755138403745
"AT4G18910" "NIP1-2" 12.1338798333333 3.53640249954826 "L" -0.167404 0.346528 -0.4734 0.4807 0.0969 0.02765 0.964149 0.65965 0.388002 "L" 0.0311193153899227 0.3269694829772 0.381606370663014
"AT4G18930" "AT4G18930" 73.17233125 38.0766682086709 "M" -0.293849 0.319972 -0.135306 0.28425 0.22425 0.5951 0.886786 0.842194 0.983808 "M" 0.0919483805128837 0.101295053553606 0.00437742782653239
"AT4G18940" "AT4G18940" 0.874411475 0.414936070014776 "M" -0.162725 1.17337 0.8564 1 0.02525 0.09885 1 0.370228 0.665079 "M" 0.19438830695143 0.509034939433094 0.372010695897615
"AT4G18950" "AT4G18950" 9.47293175 1.20954207101575 "M" 0.0461908 0.662336 0.557805 0.8364 0.00225 0.00805 0.998621 0.0869784 0.195335 "M" 0.0869501764238607 0.322039442040506 0.263482449371765
"AT4G18960" "AG" 0.214199198333333 0.0881225326412652 "M" -0.075743 -1.10192 -0.470983 1 1 1 1 1 1 "M" 0.0434567292082869 0.256438986212043 0.180003504985168
"AT4G18970" "AT4G18970" 26.6639704166667 5.43117793346372 "L" -0.00242147 0.565679 1.03906 0.99215 0.01015 5e-05 0.998621 0.223508 0.00512634 "M" 0.757586409963467 0.796267286864148 0.787394562768337
"AT4G18975" "AT4G18975" 14.867095875 2.83474754158732 "M" -0.0794648 0.111033 0.0825931 0.7287 0.58695 0.68545 0.997442 0.983111 0.993576 "E" 0.216284752553496 0.14818492853481 0.0953189325408441
"AT4G18980" "AtS40-3" 0.343544867916667 0.320896038012235 "L" 0.0519873 -0.0641136 0.383663 0.93265 1 0.47325 0.998621 1 0.96304 "L" 0.00750781147946888 0.0208501436613279 0.0543865440248312
"AT4G19003" "VPS25" 22.7682675 7.198173994903 "L" 0.129575 0.252731 0.272793 0.5718 0.2261 0.1874 0.979882 0.843463 0.806582 "M" 0.295893492811499 0.348541974650194 0.329371664903806
"AT4G19010" "4CLL6" 2.39316891666667 0.426042260182772 "E" -0.309308 0.165272 0.117568 0.21515 0.4726 0.6148 0.834198 0.962762 0.986017 "M" 0.453702344881792 0.528723688935988 0.112269816557114
"AT4G19020" "CMT2" 0.978070866666667 0.28969223317436 "E" 0.323197 -0.0216073 0.0736062 0.2529 0.93565 0.7737 0.864554 0.998621 0.998621 "E" 0.143691882129989 0.023355328017722 0.0161644693128313
"AT4G19030" "NIP1-1" 5.3646895 3.47801035523065 "E" -0.284406 -0.152092 0.0820977 0.2904 0.52375 0.72665 0.891391 0.972901 0.997312 "E" 0.322442292307263 0.293493718676727 0.0448243312371831
"AT4G19040" "EDR2" 3.62874391666667 0.988430554526233 "L" -0.156934 -0.145925 -0.266407 0.5236 0.49985 0.2235 0.972901 0.968423 0.841585 "E" 0.41161186916091 0.354062026170894 0.374710323930843
"AT4G19045" "MOB1B" 5.86376045833333 1.43845622603047 "M" 0.0213992 0.307546 0.211764 0.9387 0.19475 0.3692 0.998621 0.814655 0.930064 "M" 0.0984024135429593 0.367538947155844 0.259442039121097
"AT4G19070" "AT4G19070" 5.44282170833333 1.16889903873645 "L" 0.0533272 0.146979 0.273107 0.85045 0.5841 0.2938 0.998621 0.982207 0.893207 "M" 0.264058831787372 0.482971775424206 0.449343306251651
"AT4G19080" "AT4G19080" 0.125094924166667 0.115929152885764 "L" -0.602834 -0.06917 -0.686515 1 1 1 1 1 1 "L" 0.0146887417684493 0.00320178798583381 0.0742064128804611
"AT4G19090" "AT4G19090" 0.145902615833333 0.0958596167507176 "M" -0.374581 -0.554101 -0.102429 1 1 1 1 1 1 "M" 0.0955760144635057 0.117077444469112 0.0654220843952574
"AT4G19095" "AT4G19095" 0.3154075625 0.420044408853672 "M" 0.948711 1.52576 0.700806 1 1 1 1 1 1 "M" 0.222917064898826 0.361435683276539 0.191951337159211
"AT4G19100" "PAM68" 51.7399041666667 12.5049293740877 "E" 0.351447 0.341329 0.15007 0.1347 0.11225 0.4711 0.735472 0.694334 0.962443 "M" 0.25404832766848 0.256162771428478 0.168253369175975
"AT4G19110" "AT4G19110" 43.3119816666667 12.6040593893371 "E" -0.0827575 -0.018592 -0.0342704 0.77855 0.9455 0.89355 0.998621 0.998621 0.998621 "L" 0.0846602413420448 0.0171721098389359 0.0959589266034948
"AT4G19120" "ERD3" 11.243725875 2.32400214744845 "L" -0.0518274 0.212545 0.360256 0.8258 0.3113 0.08415 0.998621 0.902405 0.627196 "M" 0.220346794841997 0.547196572209007 0.528128984474038
"AT4G19130" "RPA1E" 0.718148966666667 0.182367771195758 "M" -0.113094 -0.752337 -0.475541 0.75465 0.04845 0.1667 0.998621 0.506383 0.782878 "M" 0.0272509563533546 0.219327748316195 0.179986470851429
"AT4G19140" "AT4G19140" 25.9264920833333 10.0574779196221 "M" -0.179231 0.183867 -0.0044518 0.58045 0.542 0.98745 0.981211 0.975631 0.998621 "E" 0.110936704385598 0.0687556258561648 0.0118767418598853
"AT4G19150" "AT4G19150" 13.2943878333333 2.44212486493352 "L" 0.0977357 0.0971027 0.198124 0.8144 0.8194 0.60695 0.998621 0.998621 0.985533 "L" 3.20447799859735e-05 0.124293282788047 0.127705098389914
"AT4G19160" "AT4G19160" 15.2462879166667 2.45148716846127 "L" 0.0640471 -0.0519054 -0.343672 0.7878 0.8069 0.10195 0.998621 0.998621 0.671524 "L" 0.0899510418208058 0.0827315883107533 0.360438605411756
"AT4G19170" "CCD4" 9.17695495833333 3.39139984125589 "L" -0.0465753 -0.230874 -0.697482 0.85385 0.31345 0.00445 0.998621 0.903485 0.135976 "L" 0.0419336284050582 0.0301362084438562 0.327552064879432
"AT4G19180" "APY7" 3.37702341666667 1.03907293075221 "E" -0.350247 -0.292726 -0.201455 0.1804 0.20505 0.38505 0.799841 0.82391 0.936547 "E" 0.519468775128082 0.338370935181212 0.469294576147071
"AT4G19185" "AT4G19185" 5.18366375 0.689991787705272 "E" -0.404584 0.00952105 0.122028 0.1192 0.9655 0.59355 0.707635 0.998621 0.983601 "E" 0.484675207656384 0.169473559024027 0.150585459031796
"AT4G19190" "AT4G19190" 3.47462516666667 0.409302687690712 "L" -0.13856 -0.108505 -0.27587 0.5964 0.64075 0.24455 0.983984 0.987924 0.859093 "E" 0.282124392197551 0.00276332219925424 0.261399137625301
"AT4G19191" "PCMP-E1" 0.476300129166667 0.116816237440998 "E" -0.600855 -0.0697898 -0.328917 1 1 1 1 1 1 "E" 0.08677047131322 0.000674713763083368 0.0567204453536521
"AT4G19200" "AT4G19200" 118.753177916667 40.3140944880928 "M" -0.0868431 0.231093 0.0616103 0.76695 0.39655 0.81825 0.998621 0.940935 0.998621 "M" 0.0103627234314171 0.0602969306819509 0.0219555120948806
"AT4G19210" "ABCE2" 42.8523558333333 8.7029822227006 "E" -0.532989 0.107578 0.264299 0.0453 0.6751 0.3012 0.492236 0.992659 0.896954 "E" 0.197914097893249 0.056228777532767 0.101897450020142
"AT4G19220" "PCMP-E2" 0.252617416666667 0.0859971827163803 "E" -0.320661 -0.291066 -0.205788 1 1 1 1 1 1 "E" 0.0388125595969646 0.0202311805100511 0.0361219035511839
"AT4G19230" "CYP707A1" 0.933923054166667 0.238753170648991 "E" -0.434747 0.227513 0.291447 0.2223 0.44985 0.324 0.84047 0.957185 0.909174 "E" 0.237612635357296 0.027648854493511 0.130412439536249
"AT4G19350" "EMB3006" 19.4289433333333 4.71848213617258 "E" 0.16719 0.0664526 0.0944694 0.47235 0.74555 0.64925 0.962638 0.998445 0.988925 "E" 0.0542827498278783 0.0290219082202674 0.0396723560348129
"AT4G19370" "AT4G19370" 1.18479788333333 0.57769886527353 "L" 0.393749 0.66967 0.734202 0.3728 0.0953 0.0642 0.93218 0.656045 0.569218 "M" 0.308179800125139 0.337106712161188 0.331511524267652
"AT4G19380" "FAO4A" 3.00495204166667 0.622567635589376 "L" 0.303107 -0.140473 -0.803033 0.2634 0.57255 0.00325 0.870307 0.979968 0.111211 "L" 0.341693573133131 0.213995365053458 0.589639013077274
"AT4G19390" "AT4G19390" 8.85582225 2.31231194025353 "E" 0.269482 0.0781113 -0.0949125 0.25795 0.72205 0.65995 0.868034 0.996795 0.990439 "E" 0.294161943138563 0.234496644845017 0.182921250392248
"AT4G19395" "AT4G19395" 98.6678333333333 334.287291876141 "E" Inf 0 0 1 1 1 1 1 1 "E" 0.44999989605101 0.11822676131935 0.0453027098112669
"AT4G19410" "PAE7" 74.4685654166667 9.83584934866726 "M" -0.0349631 0.16048 -0.129668 0.89825 0.52095 0.597 0.998621 0.972572 0.98402 "M" 0.0226717454052229 0.210412418724673 4.28781548659218e-05
"AT4G19420" "PAE8" 27.69162375 8.42754988296785 "L" -0.609182 -0.065703 -0.989968 0.0213 0.8021 5e-05 0.339194 0.998621 0.00512634 "M" 0.29370220805282 0.298007864450706 0.296907880165896
"AT4G19430" "AT4G19430" 9.178136625 4.89479242034359 "M" -0.657342 -1.3203 -1.04502 0.0129 5e-05 5e-05 0.256212 0.00512634 0.00512634 "M" 0.739929201399379 0.788318786983561 0.781809085882279
"AT4G19440" "AT4G19440" 0.64846575 0.137584323985288 "E" 0.242025 -0.128981 -0.0759733 0.46705 0.6738 0.80575 0.961303 0.992426 0.998621 "E" 0.0991040705928985 0.0394898682663317 0.0319070071832103
"AT4G19450" "AT4G19450" 12.719830375 2.03973172750154 "L" -0.30511 -0.596731 -0.640262 0.18735 0.00425 0.0023 0.806463 0.132318 0.0883774 "L" 0.671326457058499 0.692415400278107 0.702301954315437
"AT4G19460" "AT4G19460" 0.873116958333333 0.210778030765881 "L" -0.0415968 -0.280897 -0.795647 0.91645 0.42305 0.0349 0.998621 0.950292 0.434626 "L" 0.0698727972246032 0.0394582648826053 0.509233552381527
"AT4G19490" "VPS54" 4.85351475 1.43686466431252 "M" -0.0927578 -0.30797 0.0467609 0.67835 0.13515 0.8238 0.992831 0.736008 0.998621 "M" 0.21929447683276 0.48235152332226 0.102205659883076
"AT4G19500" "AT4G19500" 1.76475880833333 0.466469882439542 "M" 0.0424856 -0.271219 0.188037 0.86885 0.23925 0.4091 0.998621 0.854349 0.94555 "M" 0.0236540585719058 0.12143804258241 0.00118056095431274
"AT4G19510" "AT4G19510" 1.5592854375 0.578348360769782 "M" 0.145016 -0.332871 -0.0415749 0.5913 0.18975 0.87045 0.983559 0.809173 0.998621 "M" 0.253214236277445 0.30659586707348 0.130371916682075
"AT4G19520" "AT4G19520" 0.3138427875 0.107484367052529 "M" -0.0163882 -0.172485 0.156548 1 1 1 1 1 1 "L" 0.0314945708620032 0.0943420935137899 0.0949305680804645
"AT4G19530" "AT4G19530" 4.85887495833333 1.33424532189342 "L" 0.0181627 0.0802256 0.294842 0.93805 0.7073 0.1568 0.998621 0.99534 0.770937 "L" 0.0318279776794719 0.0256081514540774 0.174121876295823
"AT4G19540" "INDL" 4.64075045833333 0.793391887848073 "L" 0.213692 -0.00770868 0.254065 0.44335 0.96825 0.3038 0.955427 0.998621 0.898718 "L" 0.0376929483094638 0.0127732972399663 0.114796375870329
"AT4G19550" "AT4G19550" 5.10234166666667 1.96333034273645 "M" 0.0241086 -0.0296579 0.0186729 0.93905 0.91865 0.9475 0.998621 0.998621 0.998621 "E" 0.000453573988133726 0.000167290474746062 0.000220552810334507
"AT4G19560" "CYCT1-2" 0.211997295416667 0.0847056629109575 "M" -0.322111 -1.11278 0.345977 1 1 1 1 1 1 "M" 0.144003979712208 0.342551638071733 0.0235560015917975
"AT4G19570" "AT4G19570" 0.127954313333333 0.0685533746816693 "M" -0.055606 0.221874 -0.210616 1 1 1 1 1 1 "L" 0.000278987764654959 0.022377504102715 0.0232103292647455
"AT4G19590" "AT4G19590" 0.243490747916667 0.101519127471211 "L" -0.248505 -0.145084 -1.19966 1 1 1 1 1 1 "L" 0.00700715026828636 0.0266816663006363 0.182801192032116
"AT4G19600" "CYCT1-4" 3.396120875 0.516306105171637 "L" 0.0212878 0.0095269 -0.146345 0.9346 0.9681 0.5312 0.998621 0.998621 0.974098 "L" 0.0141326494231349 0.0283733222756219 0.0740853056649776
"AT4G19610" "AT4G19610" 3.627089625 0.633444571562831 "E" -0.502387 -0.285342 -0.318497 0.04505 0.1904 0.14695 0.49109 0.809755 0.75526 "E" 0.6199384817551 0.295099247676108 0.5913921527295
"AT4G19630" "AT4G19630" 0.113958474166667 0.115010870207354 "E" -Inf -0.580576 -1.03071 1 1 1 1 1 1 "E" 0.151539682505416 0.0314984507578069 0.128896031482014
"AT4G19640" "RABF2B" 75.7043495833333 14.8779415379535 "E" -0.295515 0.257837 -0.0886909 0.2445 0.27675 0.7035 0.859047 0.880139 0.994831 "E" 0.179709781081012 0.120504115474168 0.0069736998809895
"AT4G19645" "AT4G19645" 2.29042266666667 0.619806596364766 "L" 0.112675 -0.275095 -0.803258 0.8584 0.612 0.1793 0.998621 0.985857 0.798119 "L" 0.0801893377762177 0.036222373504371 0.256336123020637
"AT4G19650" "AT4G19650" 1.41330285833333 0.420846861883923 "E" -0.51755 -0.351962 -0.0917209 0.24595 0.3452 0.7868 0.860371 0.919291 0.998621 "E" 0.215479646669311 0.183409840151446 0.114061480824289
"AT4G19660" "NPR4" 1.5843549 0.396814386447055 "L" -0.281705 -0.199342 -0.322482 0.416 0.51745 0.29355 0.947744 0.972282 0.893171 "E" 0.180683825548933 0.130247638223486 0.16985666567567
"AT4G19670" "AT4G19670" 14.3103979166667 3.3398715935171 "L" -0.419709 -0.146358 -0.427173 0.0695 0.4922 0.0399 0.585478 0.966962 0.463516 "L" 0.0648542505146218 0.133883526392324 0.17507303278121
"AT4G19680" "IRT2" 0.694015083333333 0.646500158239245 "L" -0.495308 -0.466085 -1.1894 0.20515 0.18685 0.00265 0.82391 0.806057 0.0976193 "E" 0.15926338933884 0.144019742905626 0.149268282524456
"AT4G19690" "IRT1" 21.5537246666667 24.3940297193199 "L" 0.254154 0.736408 -0.934026 0.34985 0.0054 0.00045 0.921213 0.153093 0.0282141 "M" 0.0950893796449981 0.271071934788164 0.234839552199691
"AT4G19700" "BOI" 8.340085125 1.67007374173049 "L" 0.492492 -0.293563 -0.601989 0.0523 0.2011 0.0102 0.5245 0.820627 0.223748 "E" 0.262797065118784 0.0609994095273504 0.198117545361522
"AT4G19710" "AKHSDH2" 10.7757790416667 3.50127692699488 "L" 0.110964 0.073246 0.291762 0.62945 0.72145 0.16105 0.98679 0.996785 0.776525 "L" 0.0113149778678495 0.0343393419934812 0.472065501439179
"AT4G19720" "AT4G19720" 0.875769758333333 0.295838875522894 "M" 0.162936 0.454658 0.0467751 0.7343 0.26645 1 0.998184 0.872402 1 "M" 0.0738181635913863 0.181244200037386 0.0505858131038379
"AT4G19810" "AT4G19810" 11.0483572916667 5.5079884043264 "E" -0.502839 0.22879 -0.170742 0.03595 0.30305 0.42705 0.440888 0.897989 0.951227 "E" 0.130245395461924 0.0365444425715125 2.15889607091402e-06
"AT4G19820" "AT4G19820" 1.67610341666667 0.448411616072915 "E" 0.753897 0.662617 0.728772 0.07445 0.0779 0.054 0.600753 0.610962 0.531985 "E" 0.414644402397957 0.305166235499002 0.414117549347317
"AT4G19830" "FKBP17-1" 8.29460929166667 2.12896016599702 "L" 0.135252 0.164616 -0.247761 0.632 0.5117 0.33695 0.987032 0.970819 0.915749 "L" 0.0901695215992157 0.16996505068783 0.199751622154132
"AT4G19840" "PP2A1" 46.7256516666667 11.133000292707 "L" 0.0260131 0.00958695 -0.196994 0.912 0.96405 0.3538 0.998621 0.998621 0.922346 "L" 0.0179725018248571 0.0339380640354109 0.0905176087303926
"AT4G19850" "PP2A2" 0.60345621625 0.359505131681496 "M" 0.691221 -1.23606 0.539936 1 1 1 1 1 1 "E" 0.0985875882038478 0.0956320575249771 9.79824291558185e-06
"AT4G19860" "LCAT4" 18.09068 3.01668303845393 "L" -0.256544 -0.141622 -0.385037 0.2752 0.49785 0.06455 0.878945 0.967975 0.57023 "E" 0.379345189426414 0.31797955229473 0.330857673752782
"AT4G19865" "AT4G19865" 2.01203570833333 0.61275586539328 "L" -0.00164875 -0.137928 -0.140005 0.9883 0.689 0.6838 0.998621 0.993686 0.993552 "M" 0.00788702466682534 0.04230183862538 0.0405530555108623
"AT4G19870" "AT4G19870" 3.01506183333333 1.02992531882444 "L" 0.00898602 0.231615 -0.404827 0.97615 0.39875 0.1683 0.998621 0.941165 0.784835 "L" 0.0631746899740746 0.239337977502312 0.330052914362312
"AT4G19880" "AT4G19880" 25.5899370833333 5.06580754538442 "E" -0.551513 0.0733156 0.0793821 0.022 0.7439 0.71985 0.345436 0.998445 0.996728 "E" 0.398988241493103 0.0651670663723988 0.0357602885153444
"AT4G19900" "AT4G19900" 2.6780515 0.458943596498571 "E" -0.53787 -0.232499 -0.361343 0.05935 0.365 0.15465 0.5528 0.9281 0.767717 "L" 0.127528728536431 0.130304257580189 0.213022516054484
"AT4G19920" "AT4G19920" 0.50114735625 0.279229299550001 "M" -0.632939 -0.939954 -0.273731 1 1 1 1 1 1 "M" 0.314019213251713 0.361270523929986 0.248649087352476
"AT4G19950" "AT4G19950" 2.37386904166667 0.72989331027126 "E" -0.247161 -0.130159 -0.210325 0.425 0.62895 0.4487 0.950838 0.98679 0.957003 "E" 0.0650015387064836 0.0369134108553659 0.0640714785149552
"AT4G19960" "POT9" 1.176784925 0.380184669640162 "L" -0.0542101 0.00694608 -0.206449 0.86375 0.9839 0.46785 0.998621 0.998621 0.961476 "L" 0.00391030362089662 0.0319815212523202 0.12120529930905
"AT4G19970" "AT4G19970" 0.308932329166667 0.109460231938694 "L" 1.01168 1.91806 3.07 1 1 2e-04 1 1 0.0153863 "L" 0.0983737627263468 0.0652573583814279 0.891870915175493
"AT4G19980" "AT4G19980" 0.569546904166667 0.43339017916518 "E" 0.998508 0.28181 0.3445 1 1 1 1 1 1 "E" 0.0840822288363587 0.0317105101304498 0.0276708914000683
"AT4G19985" "AT4G19985" 12.8080484583333 3.14806686744194 "E" 0.415068 0.14415 0.284771 0.0825 0.50185 0.18635 0.622749 0.968901 0.805569 "L" 0.267660242948198 0.0857242442715362 0.293444341832979
"AT4G19990" "FRS1" 1.4061274375 0.26399770536747 "M" -0.23611 -0.305106 -0.100789 0.41035 0.2448 0.7014 0.945947 0.859185 0.99455 "M" 0.333430308084988 0.36466455980651 0.268075563035297
